Дата оплаты	Лицевой счет	Сумма
05.02.2021	080310141	587,36
05.02.2021	080311058	2595,61
05.02.2021	080311219	1192,00
05.02.2021	080312065	1672,15
05.02.2021	080313004	1334,52
05.02.2021	080401141	2887,83
05.02.2021	080401188	1744,23
05.02.2021	080404098	1667,35
05.02.2021	080406035	216,23
05.02.2021	080406167	148,95
05.02.2021	080407013	1133,99
05.02.2021	080407087	2228,51
05.02.2021	080407089	1081,13
05.02.2021	080407217	1821,11
05.02.2021	080409157	686,69
05.02.2021	080501038	1593,65
05.02.2021	080504109	1567,74
05.02.2021	080508199	1355,02
05.02.2021	080508255	1053,79
05.02.2021	080509308	829,22
05.02.2021	080602277	1158,01
05.02.2021	080606078	1263,73
05.02.2021	080711085	1941,24
05.02.2021	080721268	820,58
05.02.2021	080801029	1667,35
05.02.2021	080808054	2110,13
05.02.2021	080903236	2969,52
05.02.2021	080903237	2219,93
05.02.2021	081003046	1455,93
05.02.2021	081004042	1895,97
05.02.2021	081008182	1816,31
05.02.2021	081010157	48,05
05.02.2021	081010245	2517,88
05.02.2021	081014024	1688,66
05.02.2021	081015179	1731,85
05.02.2021	081016295	2186,30
05.02.2021	081016296	1498,64
05.02.2021	081016297	1662,75
05.02.2021	081016298	1412,26
05.02.2021	081016299	1641,15
05.02.2021	081016300	1658,43
05.02.2021	081016301	1425,21
05.02.2021	081016302	1895,97
05.02.2021	081016303	2254,42
05.02.2021	081016304	1459,76
05.02.2021	081016305	1891,64
05.02.2021	081016306	2012,57
05.02.2021	081016307	1934,84
05.02.2021	081016308	1636,84
05.02.2021	081016309	2003,94
05.02.2021	081016310	1934,84
05.02.2021	081017143	1740,49
05.02.2021	081017144	2323,52
05.02.2021	081017145	1645,48
05.02.2021	090733230	2887,83
05.02.2021	090733679	475,07
05.02.2021	090733691	1081,13
05.02.2021	090817103	1350,22
05.02.2021	090817378	792,84
05.02.2021	091501239	3096,60
05.02.2021	091501241	3489,61
05.02.2021	091504050	2047,12
05.02.2021	091504293	2345,12
05.02.2021	091505134	1317,25
05.02.2021	091505161	1076,33
05.02.2021	091508130	2940,68
05.02.2021	091508169	2575,50
05.02.2021	091508233	3695,08
05.02.2021	091508596	1422,29
05.02.2021	091508609	2720,86
05.02.2021	091509183	1749,04
05.02.2021	091509286	2267,39
